#T	R	G	B
-1	1.526789307500355	0.9416360178268822	0.0269600176681215
-0.99	1.5752155889924984	0.919709308999249	0.10156603855861708
-0.98	1.5995627372245438	0.9064034472261334	0.16167890041456517
-0.97	1.6063687216892018	0.8996010239402782	0.20902157128516458
-0.96	1.6013916285129348	0.8973335378086948	0.24613841464503364
-0.95	1.5890441790356276	0.8980346544870236	0.27555156022031213
-0.94	1.5724419729977606	0.9005623476159195	0.2993995225175982
-0.93	1.5536700168437165	0.9041281125667621	0.31935357771852696
-0.92	1.5340691104642963	0.9082077520325622	0.3366582113795313
-0.9	1.4953703890767551	0.9166843649458025	0.3666426242803891
-0.89	1.4770444530093934	0.92074441509882	0.3803870306305687
-0.88	1.45963187179823	0.9245731450245543	0.3937333896694587
-0.87	1.4431851948321421	0.9281361930473453	0.4068673450308217
-0.86	1.4277044990188958	0.9314222479434089	0.4199007171669915
-0.85	1.413158982792547	0.9344344200909103	0.4328933934804106
-0.84	1.3995006729691057	0.9371845526039547	0.44586932000581186
-0.83	1.3866730302977235	0.9396894846090094	0.45882817681912114
-0.82	1.3746162705806335	0.9419686092394628	0.47175389953592123
-0.81	1.3632705801586622	0.9440422910208418	0.48462088809089104
-0.8	1.3525779887577982	0.9459308546350328	0.49739850907363625
-0.79	1.3424833930108522	0.9476539541761042	0.51005432990503
-0.78	1.332935049295812	0.9492301959436202	0.5225564041666646
-0.77	1.3238847413551418	0.9506769299578227	0.5348748432418556
-0.76	1.3152877547439397	0.9520101532443801	0.5469828495991372
-0.75	1.3071027424777077	0.9532444864453885	0.5588573440927628
-0.74	1.2992915352771246	0.9543931976767114	0.5704792883891892
-0.73	1.2918189296997766	0.9554682558635852	0.5818337805012642
-0.72	1.2846524744331609	0.9564804014125511	0.5929099840062818
-0.71	1.2777622666423494	0.9574392259145489	0.6037009381960007
-0.7	1.271120764918599	0.9583532552099132	0.6142032860412177
-0.69	1.2647026220132178	0.9592300319702873	0.624416948682
-0.68	1.258484538473541	0.9600761952237963	0.634344768649116
-0.67	1.2524451370721639	0.9608975551407415	0.6439921388060904
-0.66	1.2465648572352175	0.961699162024372	0.6533666298055685
-0.65	1.240825868333585	0.9624853688936688	0.6624776254782264
-0.64	1.2352120005709777	0.963259887357035	0.6713359728650785
-0.63	1.2297086922002636	0.9640258366944413	0.6799536514454236
-0.62	1.2243029518660566	0.9647857862179463	0.6883434644072197
-0.61	1.218983334973901	0.9655417910843331	0.6965187534769196
-0.6	1.2137399330974556	0.966295421803622	0.7044931378051316
-0.59	1.2085643755442064	0.9670477877318875	0.7122802766406617
-0.58	1.203449842294325	0.967799554864858	0.7198936549706397
-0.57	1.1983910876048525	0.9685509582643769	0.7273463909214138
-0.56	1.1933844736248427	0.9693018094586222	0.7346510634702476
-0.55	1.1884280133995226	0.9700514991607677	0.7418195588847714
-0.54	1.1835214226480077	0.9707989956533036	0.7488629342630311
-0.53	1.1786661796813336	0.9715428391879631	0.7557912965722624
-0.52	1.173865592785703	0.9722811327555212	0.7626136956649707
-0.51	1.1691248743278655	0.9730115295876941	0.7693380298722585
-0.5	1.1644512207493554	0.9737312177646359	0.7759709629282472
-0.49	1.1598538975002557	0.9744369023182792	0.7825178511552957
-0.48	1.1553443278255244	0.9751247852431704	0.7889826800329387
-0.47	1.1509361841565453	0.9757905438536061	0.7953680094767234
-0.46	1.146645480681299	0.976429307957992	0.8016749273628788
-0.45	1.1424906654670457	0.9770356363593229	0.8079030110459614
-0.44	1.1393281626644272	0.9773744046495341	0.8138595347949598
-0.43	1.1336743244638439	0.9784005260657457	0.8203432462155879
-0.42	1.128402681675958	0.979325625494454	0.826702250998028
-0.41	1.1234844561242137	0.9801576587496366	0.8329424804744061
-0.4	1.1188920252234253	0.9809043236206383	0.8390690191692418
-0.39	1.114598859248342	0.9815730743039109	0.8450861465601843
-0.38	1.1105794697837146	0.9821711319602141	0.8509973842941434
-0.37	1.1068093688346212	0.9827054915848916	0.8568055485352511
-0.36	1.1032650380817977	0.9831829253730342	0.862512807160884
-0.35	1.0999239077638177	0.9836099827594653	0.8681207415490697
-0.34	1.0967643446576765	0.9839929873149694	0.8736304127162303
-0.33	1.0937656486124967	0.9843380306846625	0.879042431569427
-0.32	1.0909080570684972	0.9846509637615489	0.8843570330329346
-0.31	1.088172756965683	0.9849373852978652	0.8895741537958818
-0.3	1.0855419034170506	0.9852026281675426	0.8946935134087068
-0.29	1.0829986444885027	0.9854517435053695	0.8997146984308044
-0.28	1.0805271513966777	0.9856894829604551	0.9046372493040019
-0.27	1.0781126534061927	0.9859202793134352	0.9094607495966023
-0.26	1.0757414766837892	0.9861482257168499	0.9141849172345641
-0.25	1.0734010863476027	0.9863770538265285	0.9188096973097863
-0.24	1.0710801309400746	0.9866101110967999	0.92333535603475
-0.23	1.0687684885550321	0.9868503375129847	0.9277625754004643
-0.22	1.0664573138615048	0.9871002420315398	0.9320925480898444
-0.21	1.0641390852954047	0.9873618789888347	0.9363270722075112
-0.2	1.0618076517341422	0.9876368247242311	0.9404686454092976
-0.19	1.0594582780290218	0.9879261546416414	0.9445205580516369
-0.18	1.0570876888500154	0.9882304209043934	0.9484869850369049
-0.17	1.0546941103930216	0.9885496309225602	0.9523730761028918
-0.16	1.0522773096167686	0.9888832267475861	0.9561850443989133
-0.15	1.0498386308086016	0.989230065438514	0.9599302533028545
-0.14	1.0473810294314672	0.9895884004049033	0.9636173015690213
-0.13	1.0449091033716895	0.9899558636662391	0.9672561070510344
-0.12	1.0424291218930992	0.990329448894346	0.9708579894223106
